SignalControllerId,SignalGroupId,SignalHeadId,CmTrafficLightIndex,CmControllerId
10937,-1,0,-1,
10937,-1,1,-1,
10937,-1,2,-1,
10937,-1,3,-1,
10937,-1,4,-1,
10937,-1,5,-1,
10937,-1,6,-1,
10937,-1,7,-1,
10937,-1,8,-1,
10937,-1,9,-1,
10937,-1,10,-1,
10937,-1,11,-1,
10937,-1,12,-1,
10937,-1,13,-1,
10937,-1,14,-1,
10937,-1,15,-1,
10937,-1,16,-1,
2117,-1,0,-1,
2117,-1,1,-1,
2117,-1,2,-1,
2117,-1,3,-1,
2117,-1,4,-1,
2117,-1,5,-1,
2117,-1,6,-1,
2117,-1,7,-1,
2117,-1,8,-1,
2117,-1,9,-1,
2117,-1,10,-1,
2117,-1,11,-1,
2117,-1,12,-1,
2881,-1,0,-1,
2881,-1,1,-1,
2881,-1,2,-1,
2881,-1,3,-1,
2881,-1,4,-1,
2881,-1,5,-1,
2881,-1,6,-1,
2881,-1,7,-1,
2881,-1,8,-1,
2881,-1,9,-1,
2881,-1,10,-1,
2881,-1,11,-1,
3586,-1,0,-1,
3586,-1,1,-1,
3586,-1,2,-1,
3586,-1,3,-1,
3586,-1,4,-1,
3586,-1,5,-1,
3586,-1,6,-1,
3586,-1,7,-1,
3586,-1,8,-1,
3586,-1,9,-1,
3586,-1,10,-1,
3586,-1,11,-1,
3586,-1,12,-1,
3586,-1,13,0,3586_13
3586,-1,14,1,3586_14
3586,-1,15,2,3586_15
