timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
0.00,115872656#4,115872656#4_0,0_0,0.0000000000,22.4438699999
0.00,115872656#4,115872656#4_1,,,
0.10,115872656#4,115872656#4_0,0_0,2.2443870000,22.4438699998
0.10,115872656#4,115872656#4_1,,,
0.20,115872656#4,115872656#4_0,0_0,4.4887740000,22.4438699998
0.20,115872656#4,115872656#4_1,,,
0.30,115872656#4,115872656#4_0,0_0,6.7331609999,22.4438699997
0.30,115872656#4,115872656#4_1,,,
0.40,115872656#4,115872656#4_0,0_0,8.9775479999,22.4438699996
0.40,115872656#4,115872656#4_1,,,
0.50,115872656#4,115872656#4_0,0_0,11.2219349999,22.4438699995
0.50,115872656#4,115872656#4_1,,,
0.60,115872656#4,115872656#4_0,0_0,13.4663219998,22.4438699995
0.60,115872656#4,115872656#4_1,,,
0.70,115872656#4,115872656#4_0,0_0,15.7107089998,22.4438699994
0.70,115872656#4,115872656#4_1,,,
0.80,115872656#4,115872656#4_0,0_0,17.9550959997,22.4438699993
0.80,115872656#4,115872656#4_1,,,
0.90,115872656#4,115872656#4_0,0_0,20.1994829996,22.4438699993
0.90,115872656#4,115872656#4_1,,,
1.00,115872656#4,115872656#4_0,0_0,22.4438699995,22.4438699992
1.00,115872656#4,115872656#4_1,,,
1.10,115872656#4,115872656#4_0,0_0,24.6882569995,22.4438699991
1.10,115872656#4,115872656#4_1,,,
1.20,115872656#4,115872656#4_0,0_0,26.9326439994,22.4438699990
1.20,115872656#4,115872656#4_1,,,
1.30,115872656#4,115872656#4_0,0_0,29.1770309993,22.4438699990
1.30,115872656#4,115872656#4_1,,,
1.40,115872656#4,115872656#4_0,0_0,31.4214179992,22.4438699989
1.40,115872656#4,115872656#4_1,,,
1.50,115872656#4,115872656#4_0,0_0,33.6658049991,22.4438699988
1.50,115872656#4,115872656#4_1,,,
1.60,115872656#4,115872656#4_0,0_0,35.9101919989,22.4438699988
1.60,115872656#4,115872656#4_1,,,
1.70,115872656#4,115872656#4_0,0_0,38.1545789988,22.4438699987
1.70,115872656#4,115872656#4_1,,,
1.70,834845345#1,834845345#1_0,0_1,0.0000000000,23.3043450000
1.70,834845345#1,834845345#1_1,,,
1.80,115872656#4,115872656#4_0,0_0,40.3989659987,22.4438699986
1.80,115872656#4,115872656#4_1,,,
1.80,834845345#1,834845345#1_0,0_1,2.3304345000,23.3043449999
1.80,834845345#1,834845345#1_1,,,
1.90,115872656#4,115872656#4_0,0_0,42.6433529985,22.4438699986
1.90,115872656#4,115872656#4_1,,,
1.90,834845345#1,834845345#1_0,0_1,4.6608690000,23.3043449998
1.90,834845345#1,834845345#1_1,,,
2.00,115872656#4,115872656#4_0,0_0,44.8877399984,22.4438699985
2.00,115872656#4,115872656#4_1,,,
2.00,834845345#1,834845345#1_0,0_1,6.9913035000,23.3043449998
2.00,834845345#1,834845345#1_1,,,
2.10,115872656#4,115872656#4_0,0_0,47.1321269982,22.4438699984
2.10,115872656#4,115872656#4_1,,,
2.10,834845345#1,834845345#1_0,0_1,9.3217379999,23.3043449997
2.10,834845345#1,834845345#1_1,,,
2.20,115872656#4,115872656#4_0,0_0,49.3765139981,22.4438699984
2.20,115872656#4,115872656#4_1,,,
2.20,834845345#1,834845345#1_0,0_1,11.6521724999,23.3043449996
2.20,834845345#1,834845345#1_1,,,
2.30,115872656#4,115872656#4_0,0_0,51.6209009979,22.4438699983
2.30,115872656#4,115872656#4_1,,,
2.30,834845345#1,834845345#1_0,0_1,13.9826069999,23.3043449995
2.30,834845345#1,834845345#1_1,,,
2.40,115872656#4,115872656#4_0,0_0,53.8652879977,22.4438699982
2.40,115872656#4,115872656#4_1,,,
2.40,834845345#1,834845345#1_0,0_1,16.3130414998,23.3043449994
2.40,834845345#1,834845345#1_1,,,
2.50,115872656#4,115872656#4_0,0_0,56.1096749976,22.4438699982
2.50,115872656#4,115872656#4_1,,,
2.50,834845345#1,834845345#1_0,0_1,18.6434759997,23.3043449994
2.50,834845345#1,834845345#1_1,,,
2.60,115872656#4,115872656#4_0,0_0,58.3540619974,22.4438699981
2.60,115872656#4,115872656#4_1,,,
2.60,834845345#1,834845345#1_0,0_1,20.9739104997,23.3043449993
2.60,834845345#1,834845345#1_1,,,
2.70,115872656#4,115872656#4_0,0_0,60.5984489972,22.4438699981
2.70,115872656#4,115872656#4_1,,,
2.70,834845345#1,834845345#1_0,0_1,23.3043449996,23.3043449992
2.70,834845345#1,834845345#1_1,,,
2.80,115872656#4,115872656#4_0,0_0,62.8428359970,22.4438699980
2.80,115872656#4,115872656#4_1,,,
2.80,834845345#1,834845345#1_0,0_1,25.6347794995,23.3043449991
2.80,834845345#1,834845345#1_1,,,
2.90,115872656#4,115872656#4_0,0_0,65.0872229968,22.4438699979
2.90,115872656#4,115872656#4_1,,,
2.90,834845345#1,834845345#1_0,0_1,27.9652139994,23.3043449990
2.90,834845345#1,834845345#1_1,,,
3.00,115872656#4,115872656#4_0,0_0,67.3316099966,22.4438699979
3.00,115872656#4,115872656#4_1,,,
3.00,834845345#1,834845345#1_0,0_1,30.2956484993,23.3043449990
3.00,834845345#1,834845345#1_1,,,
3.10,:6018664060_0,:6018664060_0_0,,,
3.10,:6018664060_0,:6018664060_0_1,0_0,1.3759969964,22.4438699978
3.10,:6018664060_0,:6018664060_0_2,,,
3.10,834845345#1,834845345#1_0,0_1,32.6260829992,23.3043449989
3.10,834845345#1,834845345#1_1,,,
3.20,:6018664060_0,:6018664060_0_0,,,
3.20,:6018664060_0,:6018664060_0_1,0_0,3.6203839961,22.4438699978
3.20,:6018664060_0,:6018664060_0_2,,,
3.20,834845345#1,834845345#1_0,0_1,34.9565174991,23.3043449988
3.20,834845345#1,834845345#1_1,,,
3.30,:6018664060_0,:6018664060_0_0,,,
3.30,:6018664060_0,:6018664060_0_1,0_0,5.8647709959,22.4438699977
3.30,:6018664060_0,:6018664060_0_2,,,
3.30,834845345#1,834845345#1_0,0_1,37.2869519990,23.3043449988
3.30,834845345#1,834845345#1_1,,,
3.30,gneE17,gneE17_0,0_2,0.0000000000,15.7032100000
3.40,:6018664060_0,:6018664060_0_0,,,
