timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
0.00,1,1_0,flow_0.0,5.10,14.72
0.00,2,2_0,flow_1.0,5.10,13.03
0.10,1,1_0,flow_0.0,6.56,14.61
0.10,2,2_0,flow_1.0,6.40,12.98
0.20,1,1_0,flow_0.0,8.03,14.72
0.20,2,2_0,flow_1.0,7.69,12.96
0.30,1,1_0,flow_0.0,9.50,14.68
0.30,2,2_0,flow_1.0,8.99,13.01
0.40,1,1_0,flow_0.0,10.97,14.71
0.40,2,2_0,flow_1.0,10.30,13.02
0.50,1,1_0,flow_0.0,12.44,14.67
0.50,2,2_0,flow_1.0,11.59,12.94
0.60,1,1_0,flow_0.0,13.91,14.71
0.60,2,2_0,flow_1.0,12.89,13.01
0.70,1,1_0,flow_0.0,15.37,14.61
0.70,2,2_0,flow_1.0,14.19,12.94
0.80,1,1_0,flow_0.0,16.83,14.60
0.80,2,2_0,flow_1.0,15.48,12.94
0.90,1,1_0,flow_0.0,18.30,14.66
0.90,2,2_0,flow_1.0,16.78,13.02
1.00,1,1_0,flow_0.0,19.76,14.60
1.00,2,2_0,flow_1.0,18.07,12.93
1.10,1,1_0,flow_0.0,21.23,14.71
1.10,2,2_0,flow_1.0,19.38,13.03
1.20,1,1_0,flow_0.0,22.69,14.66
1.20,2,2_0,flow_1.0,20.67,12.91
1.30,1,1_0,flow_0.0,24.16,14.66
1.30,2,2_0,flow_1.0,21.96,12.91
1.40,1,1_0,flow_0.0,25.62,14.64
1.40,2,2_0,flow_1.0,23.25,12.93
1.50,1,1_0,flow_0.0,27.08,14.63
1.50,2,2_0,flow_1.0,24.55,12.98
1.60,1,1_0,flow_0.0,28.56,14.72
1.60,2,2_0,flow_1.0,25.85,12.97
1.70,1,1_0,flow_0.0,30.03,14.69
1.70,2,2_0,flow_1.0,27.14,12.94
1.80,1,1_0,flow_0.0,31.49,14.64
1.80,2,2_0,flow_1.0,28.44,13.00
1.90,1,1_0,flow_0.0,32.95,14.64
1.90,2,2_0,flow_1.0,29.74,12.96
2.00,1,1_0,flow_0.0,34.42,14.69
2.00,2,2_0,flow_1.0,31.03,12.94
2.10,1,1_0,flow_0.0,35.89,14.69
2.10,2,2_0,flow_1.0,32.32,12.91
2.20,1,1_0,flow_0.0,37.35,14.62
2.20,2,2_0,flow_1.0,33.62,13.02
2.30,1,1_0,flow_0.0,38.82,14.69
2.30,2,2_0,flow_1.0,34.92,12.93
2.40,1,1_0,flow_0.0,40.29,14.70
2.40,2,2_0,flow_1.0,36.21,12.91
2.50,1,1_0,flow_0.0,41.75,14.62
2.50,2,2_0,flow_1.0,37.51,12.97
2.60,1,1_0,flow_0.0,43.23,14.72
2.60,2,2_0,flow_1.0,38.80,12.98
2.70,1,1_0,flow_0.0,44.69,14.67
2.70,2,2_0,flow_1.0,40.10,12.95
2.80,1,1_0,flow_0.0,46.16,14.67
2.80,2,2_0,flow_1.0,41.40,13.03
2.90,1,1_0,flow_0.0,47.63,14.65
2.90,2,2_0,flow_1.0,42.70,12.95
3.00,1,1_0,flow_0.0,49.09,14.66
3.00,2,2_0,flow_1.0,43.99,12.94
3.10,1,1_0,flow_0.0,50.56,14.72
3.10,2,2_0,flow_1.0,45.28,12.94
3.20,1,1_0,flow_0.0,52.03,14.64
3.20,2,2_0,flow_1.0,46.58,12.99
3.30,1,1_0,flow_0.0,53.50,14.70
3.30,2,2_0,flow_1.0,47.88,13.00
3.40,1,1_0,flow_0.0,54.96,14.62
3.40,2,2_0,flow_1.0,49.19,13.02
3.50,1,1_0,flow_0.0,56.43,14.69
3.50,2,2_0,flow_1.0,50.49,13.00
3.60,1,1_0,flow_0.0,57.90,14.67
3.60,2,2_0,flow_1.0,51.78,13.00
3.70,1,1_0,flow_0.0,59.36,14.62
3.70,2,2_0,flow_1.0,53.08,12.98
3.80,1,1_0,flow_0.0,60.82,14.61
3.80,2,2_0,flow_1.0,54.38,12.95
3.90,1,1_0,flow_0.0,62.29,14.70
3.90,2,2_0,flow_1.0,55.67,12.91
4.00,1,1_0,flow_0.1,5.10,14.03
4.00,1,1_0,flow_0.0,63.75,14.64
4.00,2,2_0,flow_1.0,56.96,12.96
4.10,1,1_0,flow_0.1,6.50,14.01
4.10,1,1_0,flow_0.0,65.23,14.71
4.10,2,2_0,flow_1.0,58.26,12.92
4.20,1,1_0,flow_0.1,7.89,13.92
4.20,1,1_0,flow_0.0,66.70,14.72
4.20,2,2_0,flow_1.0,59.55,12.95
4.30,1,1_0,flow_0.1,9.30,14.02
4.30,1,1_0,flow_0.0,68.16,14.66
4.30,2,2_0,flow_1.0,60.86,13.03
4.40,1,1_0,flow_0.1,10.69,13.98
4.40,1,1_0,flow_0.0,69.63,14.69
4.40,2,2_0,flow_1.0,62.15,12.96
4.50,1,1_0,flow_0.1,12.09,13.94
4.50,1,1_0,flow_0.0,71.10,14.64
4.50,2,2_0,flow_1.0,63.44,12.92
4.60,1,1_0,flow_0.1,13.49,14.01
4.60,1,1_0,flow_0.0,72.57,14.69
4.60,2,2_0,flow_1.0,64.73,12.91
4.70,1,1_0,flow_0.1,14.89,14.00
4.70,1,1_0,flow_0.0,74.03,14.65
4.70,2,2_0,flow_1.0,66.03,12.96
4.80,1,1_0,flow_0.1,16.29,13.97
4.80,1,1_0,flow_0.0,75.49,14.62
4.80,2,2_0,flow_1.0,67.33,12.97
4.90,1,1_0,flow_0.1,17.68,13.97
4.90,1,1_0,flow_0.0,76.96,14.66
4.90,2,2_0,flow_1.0,68.63,13.03
5.00,1,1_0,flow_0.1,19.08,13.95
5.00,1,1_0,flow_0.0,78.42,14.63
5.00,2,2_0,flow_1.1,5.10,15.04
5.00,2,2_0,flow_1.0,69.93,12.99
5.10,1,1_0,flow_0.1,20.48,14.03
5.10,1,1_0,flow_0.0,79.89,14.63
5.10,2,2_0,flow_1.1,6.59,14.93
5.10,2,2_0,flow_1.0,71.23,13.00
5.20,1,1_0,flow_0.1,21.88,14.00
5.20,1,1_0,flow_0.0,81.35,14.61
5.20,2,2_0,flow_1.1,8.09,14.96
5.20,2,2_0,flow_1.0,72.52,12.92
5.30,1,1_0,flow_0.1,23.28,14.03
5.30,1,1_0,flow_0.0,82.81,14.60
5.30,2,2_0,flow_1.1,9.59,15.03
5.30,2,2_0,flow_1.0,73.82,12.94
5.40,1,1_0,flow_0.1,24.68,13.97
5.40,1,1_0,flow_0.0,84.27,14.65
5.40,2,2_0,flow_1.1,11.09,14.97
5.40,2,2_0,flow_1.0,75.12,13.01
5.50,1,1_0,flow_0.1,26.07,13.91
5.50,1,1_0,flow_0.0,85.73,14.61
5.50,2,2_0,flow_1.1,12.58,14.93
5.50,2,2_0,flow_1.0,76.42,13.03
5.60,1,1_0,flow_0.1,27.47,13.95
5.60,1,1_0,flow_0.0,87.20,14.69
5.60,2,2_0,flow_1.1,14.08,14.98
5.60,2,2_0,flow_1.0,77.71,12.93
5.70,1,1_0,flow_0.1,28.86,13.99
5.70,1,1_0,flow_0.0,88.67,14.66
5.70,2,2_0,flow_1.1,15.57,14.93
5.70,2,2_0,flow_1.0,79.01,13.01
5.80,1,1_0,flow_0.1,30.26,13.94
5.80,1,1_0,flow_0.0,90.13,14.63
5.80,2,2_0,flow_1.1,17.06,14.91
5.80,2,2_0,flow_1.0,80.31,12.99
5.90,1,1_0,flow_0.1,31.65,13.95
5.90,1,1_0,flow_0.0,91.59,14.63
5.90,2,2_0,flow_1.1,18.57,15.01
5.90,2,2_0,flow_1.0,81.61,12.98
6.00,1,1_0,flow_0.1,33.05,13.94
6.00,1,1_0,flow_0.0,93.06,14.67
6.00,2,2_0,flow_1.1,20.07,15.00
6.00,2,2_0,flow_1.0,82.90,12.93
6.10,1,1_0,flow_0.1,34.45,13.98
6.10,1,1_0,flow_0.0,94.53,14.68
6.10,2,2_0,flow_1.1,21.56,14.91
6.10,2,2_0,flow_1.0,84.20,12.92
6.20,1,1_0,flow_0.1,35.85,14.01
6.20,1,1_0,flow_0.0,95.99,14.61
6.20,2,2_0,flow_1.1,23.05,14.97
6.20,2,2_0,flow_1.0,85.49,12.95
6.30,1,1_0,flow_0.1,37.24,13.98
6.30,1,1_0,flow_0.0,97.46,14.70
6.30,2,2_0,flow_1.1,24.56,15.03
6.30,2,2_0,flow_1.0,86.79,12.99
6.40,1,1_0,flow_0.1,38.64,13.91
6.40,1,1_0,flow_0.0,98.93,14.71
6.40,2,2_0,flow_1.1,26.05,14.95
6.40,2,2_0,flow_1.0,88.08,12.92
6.50,1,1_0,flow_0.1,40.03,13.95
6.50,1,1_0,flow_0.0,100.39,14.61
6.50,2,2_0,flow_1.1,27.54,14.92
6.50,2,2_0,flow_1.0,89.38,12.97
6.60,1,1_0,flow_0.1,41.43,14.03
6.60,1,1_0,flow_0.0,101.86,14.65
6.60,2,2_0,flow_1.1,29.04,14.98
6.60,2,2_0,flow_1.0,90.68,12.98
6.70,1,1_0,flow_0.1,42.83,13.94
6.70,1,1_0,flow_0.0,103.32,14.67
6.70,2,2_0,flow_1.1,30.54,15.00
6.70,2,2_0,flow_1.0,91.97,12.92
6.80,1,1_0,flow_0.1,44.23,14.00
6.80,1,1_0,flow_0.0,104.79,14.61
6.80,2,2_0,flow_1.1,32.04,14.99
6.80,2,2_0,flow_1.0,93.26,12.93
6.90,1,1_0,flow_0.1,45.62,13.91
6.90,1,1_0,flow_0.0,106.25,14.60
6.90,2,2_0,flow_1.1,33.54,14.96
6.90,2,2_0,flow_1.0,94.57,13.02
7.00,1,1_0,flow_0.1,47.02,13.96
7.00,1,1_0,flow_0.0,107.72,14.72
7.00,2,2_0,flow_1.1,35.03,14.94
7.00,2,2_0,flow_1.0,95.86,12.92
7.10,1,1_0,flow_0.1,48.41,13.92
7.10,1,1_0,flow_0.0,109.18,14.61
7.10,2,2_0,flow_1.1,36.53,14.96
7.10,2,2_0,flow_1.0,97.15,12.92
7.20,1,1_0,flow_0.1,49.81,14.01
7.20,1,1_0,flow_0.0,110.64,14.62
7.20,2,2_0,flow_1.1,38.02,14.97
7.20,2,2_0,flow_1.0,98.45,12.98
7.30,1,1_0,flow_0.1,51.20,13.95
7.30,1,1_0,flow_0.0,112.11,14.66
7.30,2,2_0,flow_1.1,39.52,15.00
7.30,2,2_0,flow_1.0,99.75,12.98
7.40,1,1_0,flow_0.1,52.60,13.98
7.40,1,1_0,flow_0.0,113.58,14.68
7.40,2,2_0,flow_1.1,41.02,14.93
7.40,2,2_0,flow_1.0,101.04,12.90
7.50,1,1_0,flow_0.1,54.00,13.94
7.50,1,1_0,flow_0.0,115.04,14.62
7.50,2,2_0,flow_1.1,42.51,14.96
7.50,2,2_0,flow_1.0,102.33,12.92
7.60,1,1_0,flow_0.1,55.39,13.93
7.60,1,1_0,flow_0.0,116.50,14.63
7.60,2,2_0,flow_1.1,44.01,14.95
7.60,2,2_0,flow_1.0,103.62,12.93
7.70,1,1_0,flow_0.1,56.79,14.00
7.70,1,1_0,flow_0.0,117.96,14.59
7.70,2,2_0,flow_1.1,45.51,15.02
7.70,2,2_0,flow_1.0,104.92,12.98
7.80,1,1_0,flow_0.1,58.18,13.93
7.80,1,1_0,flow_0.0,119.43,14.67
7.80,2,2_0,flow_1.1,47.01,15.01
7.80,2,2_0,flow_1.0,106.21,12.91
7.90,1,1_0,flow_0.1,59.58,14.02
7.90,1,1_0,flow_0.0,120.90,14.69
7.90,2,2_0,flow_1.1,48.51,14.99
7.90,2,2_0,flow_1.0,107.51,12.96
8.00,1,1_0,flow_0.2,5.10,14.31
8.00,1,1_0,flow_0.1,60.97,13.91
8.00,1,1_0,flow_0.0,122.36,14.68
8.00,2,2_0,flow_1.1,50.00,14.92
